obligation_id,theorem_assumption,claim,evidence_status,evidence_level,evidence_artifacts,current_limit
PO-01,A0/A2 platform and firmware identity,Replay uses the same platform profile and byte-identical firmware image identity as the recorded run.,PARTIAL,documentation+firmware-artifact,formal/assumptions.md; docs/capsule_format.md; firmware/build/; results/processed/summary.csv,"Identity fields are specified and generated firmware artifacts exist, but there is no external compiler or full RTL replay identity check."
PO-02,A1/A3 deterministic architectural state and core step,"For equal platform, firmware, state, and boundary input, the replay model produces the same next architectural state and observation.",PARTIAL,model+firmware-sim,results/processed/replay_experiments.csv; results/raw/firmware_sim_traces.json; scripts/rv32i_firmware_sim.py,The local interpreter and model are deterministic for the six workloads; this is not a mechanized RV32I ISA proof.
PO-03,A4 boundary event completeness,Replay capsules retain every nondeterministic boundary event needed by the scoped benchmark failures.,PARTIAL,model+rtl-smoke,results/processed/event_sufficiency.csv; results/processed/rtl_smoke_event_sufficiency.csv; results/processed/rtl_capsule_exports.csv; results/processed/rtl_capsule_event_classes.csv,"Completeness is exercised for six model benchmarks and twelve RTL-smoke capsules, not for arbitrary firmware or full benchmark-wide RTL traces."
PO-04,A5 commit-index and same-index ordering,"Replay comparison rejects missing, duplicate, shifted cycle/commit indices, and same-index reordered events.",PASS_LOCAL,model+rtl-smoke,results/processed/replay_negative_tests.csv; results/processed/rtl_capsule_exports.csv,Comparator/order checks are generated cycle-index and commit-index fixtures plus RTL-smoke export checks; full firmware-running RTL replay remains pending.
PO-05,A6 precise interrupt delivery,Interrupt timing is represented at commit-index boundaries and reproduced in seeded RTL-smoke schedules.,PARTIAL,rtl-smoke+firmware-sim,results/processed/randomized_interrupt_campaign.csv; results/processed/randomized_interrupt_summary.csv; results/processed/randomized_interrupt_coverage.csv; results/processed/randomized_interrupt_corruption.csv; results/processed/rtl_firmware_alignment.csv; results/processed/event_sufficiency.csv,"Seeded interrupt evidence covers RTL-smoke interrupt-race schedules and seed-specific corruption rejection, while stronger randomized record/replay cases remain TODO; there is no full interrupt-controller proof or benchmark-wide randomized campaign."
PO-06,A7 MMIO read/write contract,"MMIO read values, write observations, and corruption of MMIO payloads are replay-visible and checked.",PASS_LOCAL,model+formal-bmc+rtl-smoke,results/processed/replay_negative_tests.csv; results/processed/formal_coverage.csv; results/processed/rtl_firmware_alignment.csv,"Current checks cover local logger/control contracts and benchmark fixtures, not a complete bus-protocol proof."
PO-07,A8 external memory mutation contract,External architectural mutations must be captured as ordered boundary events when present.,ASSUMPTION_ONLY,documentation,formal/assumptions.md; docs/event_model.md; docs/capsule_format.md,The current six workloads do not include DMA or external RAM mutation RTL tests; the contract is specified but not exercised.
PO-08,A9 deterministic safety property checker,The property checker emits deterministic failure IDs/signatures over equal trace observations.,PASS_LOCAL,formal-bmc+rtl-smoke+firmware-sim,results/processed/formal_coverage.csv; results/processed/rtl_firmware_alignment.csv; results/processed/replay_experiments.csv,"Checks cover local property/signature RTL contracts and smoke alignment, not every future safety property."
PO-09,A10 finite prefix sufficiency,Capsules and replay comparisons target the finite prefix through the selected property failure.,PASS_LOCAL,model+formal-bmc+rtl-smoke,results/processed/replay_experiments.csv; results/processed/formal_coverage.csv; results/processed/rtl_capsule_exports.csv,"Prefix behavior is checked for model/firmware-sim workloads and bounded recorder contracts, not a full processor/replay theorem."
PO-10,A11 recorder noninterference separate from sufficiency theorem,The theorem applies to the recorded execution and does not itself prove instrumentation noninterference.,ASSUMPTION_ONLY,documentation,formal/assumptions.md; docs/replay_sufficiency_theorem.md; paper/limitations.md,No perturbation or runtime-overhead proof exists yet; mapped and benchmark-wide hardware results are pending.
