recorder_config,target,flow,design,memory_words,buffer_depth,lut,ff,bram,dsp,fmax_mhz,status,report_path,notes
core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,512,8,3440,958,3,0,65.90,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem512_buf8_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,512,8,7704,2689,3,0,48.74,ROUTED_TIMING_MISS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem512_buf8_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; 50 MHz timing target missed; achieved fmax recorded
core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,1024,16,3342,883,4,0,65.07,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem1024_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,1024,16,8225,3960,4,0,50.42,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem1024_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed
core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,2048,16,3359,883,6,0,68.06,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,2048,16,8216,3960,6,0,47.01,ROUTED_TIMING_MISS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; 50 MHz timing target missed; achieved fmax recorded
full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,2048,32,3359,883,6,0,68.06,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,2048,32,10409,6650,6,0,52.09,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf32_full_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed
full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,4096,32,3367,883,10,0,63.10,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem4096_buf32_full_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,4096,32,10208,6650,10,0,50.15,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem4096_buf32_full_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed
hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,2048,64,3359,883,6,0,68.06,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,2048,64,NA,NA,NA,NA,NA,FAIL,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf64_hashed_ecp5_85k_nextpnr.txt,P&R_FAIL: TIMEOUT after 240 seconds
