architecture,recorder_config,benchmark,variant,seed,workload_scale,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,event_rate_per_kinst,cycles_to_failure,commits_to_failure,property_id,replay_status,final_signature_match,event_match,overflow,notes
v1,full,sensor_threshold_bug,failing,1,smoke,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,failing,1,smoke,compiler_c_scaled,true,128,31,4,48,129.032258,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,hashed,sensor_threshold_bug,failing,1,smoke,compiler_c_scaled,true,128,31,4,48,129.032258,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,full,sensor_threshold_bug,failing,1,smoke,compiler_c_scaled,true,128,31,9,160,290.322581,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v1,full,sensor_threshold_bug,failing,2,smoke,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,failing,2,smoke,compiler_c_scaled,true,128,31,4,48,129.032258,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,hashed,sensor_threshold_bug,failing,2,smoke,compiler_c_scaled,true,128,31,4,48,129.032258,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,full,sensor_threshold_bug,failing,2,smoke,compiler_c_scaled,true,128,31,9,160,290.322581,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v1,full,sensor_threshold_bug,failing,3,smoke,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,failing,3,smoke,compiler_c_scaled,true,128,31,4,48,129.032258,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,hashed,sensor_threshold_bug,failing,3,smoke,compiler_c_scaled,true,128,31,4,48,129.032258,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,full,sensor_threshold_bug,failing,3,smoke,compiler_c_scaled,true,128,31,9,160,290.322581,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v1,full,sensor_threshold_bug,failing,4,smoke,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,measured v1 workload_scaling row
v2,core,sensor_threshold_bug,failing,4,smoke,compiler_c_scaled,true,128,31,4,48,129.032258,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,hashed,sensor_threshold_bug,failing,4,smoke,compiler_c_scaled,true,128,31,4,48,129.032258,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
v2,full,sensor_threshold_bug,failing,4,smoke,compiler_c_scaled,true,128,31,9,160,290.322581,128,31,3,BLOCKED,NA,NA,false,"ANALYTIC v2 capacity/size row derived from measured v1 workload row; full-core v2 record/replay is not integrated, so replay_status is BLOCKED and no PASS is claimed."
