benchmark,evidence_level,removed_event_class,replay_result,property_match,final_signature_match,required_for_replay,notes
sensor_threshold_bug,model,commit,TODO,NA,NA,unknown,no generated ablation row for this event class
sensor_threshold_bug,firmware-sim,commit,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
sensor_threshold_bug,rtl-smoke,commit,TODO,NA,NA,unknown,no generated ablation row for this event class
sensor_threshold_bug,full-rtl,commit,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
sensor_threshold_bug,model,branch/jump,PASS,PASS,PASS,no,no replay mismatch observed for this model benchmark
sensor_threshold_bug,firmware-sim,branch/jump,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
sensor_threshold_bug,rtl-smoke,branch/jump,FAIL,PASS,PASS,yes,missing branch event at commit 3: pc=0x94 value=0x0 order=0x1; missing branch event at commit 6: pc=0x98 value=0x0 order=0x2; missing branch event at commit 8: pc=0x98 value=0x0 order=0x3; missing branch event at commit 10: pc=0x98 value=0x0 order=0x4; missing branch event at commit 12: pc=0x98 value=0x0 order=0x5; missing branch event at commit 14: pc=0x98 value=0x0 order=0x6; missing branch event at commit 16: pc=0x98 value=0x0 order=0x7; missing branch event at commit 18: pc=0x98 value=0x0 order=0x8; missing branch event at commit 20: pc=0x98 value=0x0 order=0x9; missing branch event at commit 22: pc=0x98 value=0x0 order=0xa; missing branch event at commit 24: pc=0x98 value=0x0 order=0xb; missing branch event at commit 26: pc=0x98 value=0x0 order=0xc; missing branch event at commit 28: pc=0x98 value=0x0 order=0xd; missing branch event at commit 30: pc=0x98 value=0x0 order=0xe
sensor_threshold_bug,full-rtl,branch/jump,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
sensor_threshold_bug,model,load/store,PASS,PASS,PASS,no,no replay mismatch observed for this model benchmark
sensor_threshold_bug,firmware-sim,load/store,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
sensor_threshold_bug,rtl-smoke,load/store,PASS,PASS,PASS,no,event class absent from this RTL-smoke capsule
sensor_threshold_bug,full-rtl,load/store,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
sensor_threshold_bug,model,MMIO read,FAIL,PASS,PASS,yes,missing mmio event at commit 1: addr=0x40000000 value=0x352 direction='read'; extra observed mmio event at commit 1: addr=0x40000000 value=0x0 direction='read'
sensor_threshold_bug,firmware-sim,MMIO read,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
sensor_threshold_bug,rtl-smoke,MMIO read,FAIL,PASS,PASS,yes,missing mmio event at commit 1: addr=0x40000000 value=0x352 direction='read' order=0x0
sensor_threshold_bug,full-rtl,MMIO read,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
sensor_threshold_bug,model,MMIO write,TODO,NA,NA,unknown,no generated ablation row for this event class
sensor_threshold_bug,firmware-sim,MMIO write,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
sensor_threshold_bug,rtl-smoke,MMIO write,PASS,PASS,PASS,no,event class absent from this RTL-smoke capsule
sensor_threshold_bug,full-rtl,MMIO write,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
sensor_threshold_bug,model,interrupt enter,FAIL,PASS,PASS,yes,missing interrupt event at commit 4: irq='timer0' state='taken'; missing interrupt event at commit 4: irq='timer0' state='return'
sensor_threshold_bug,firmware-sim,interrupt enter,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
sensor_threshold_bug,rtl-smoke,interrupt enter,PASS,PASS,PASS,no,event class absent from this RTL-smoke capsule
sensor_threshold_bug,full-rtl,interrupt enter,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
sensor_threshold_bug,model,interrupt exit,TODO,NA,NA,unknown,no generated ablation row for this event class
sensor_threshold_bug,firmware-sim,interrupt exit,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
sensor_threshold_bug,rtl-smoke,interrupt exit,TODO,NA,NA,unknown,no generated ablation row for this event class
sensor_threshold_bug,full-rtl,interrupt exit,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
