tool,required_for,available,version,required,source,notes
python,"reproduce,full-rtl-replay,paper",yes,Python 3.12.13,yes,current-python,Python driver scripts; current interpreter
make,full-rtl-replay,yes,GNU Make 4.4.1,no,workspace-local,top-level orchestration and Verilator build; workspace-local .tools/winlibs/mingw64/bin/make.exe
g++,full-rtl-replay,yes,"g++.exe (MinGW-W64 x86_64-ucrt-posix-seh, built by Brecht Sanders, r2) 16.1.0",no,workspace-local,C++ compiler for Verilator harness; workspace-local .tools/winlibs/mingw64/bin/g++.exe
verilator,full-rtl-replay,yes,Verilator 5.049 devel rev v5.048-331-g0ebae4371 (mod),no,workspace-local,RTL harness build; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/verilator_bin.exe
riscv64-unknown-elf-gcc,"firmware,full-rtl-replay",yes,riscv-none-elf-gcc.exe (xPack GNU RISC-V Embedded GCC x86_64) 15.2.0,yes,workspace-local,preferred embedded RISC-V compiler; accepted aliases are bare-metal RV32-capable toolchains; workspace-local .tools/toolchains/riscv-none-elf-gcc/xpack-riscv-none-elf-gcc-15.2.0-1/bin/riscv-none-elf-gcc.exe
riscv64-unknown-elf-objcopy,firmware,yes,GNU objcopy (xPack GNU RISC-V Embedded GCC x86_64) 2.45,yes,workspace-local,ELF to HEX conversion; workspace-local .tools/toolchains/riscv-none-elf-gcc/xpack-riscv-none-elf-gcc-15.2.0-1/bin/riscv-none-elf-objcopy.exe
riscv64-unknown-elf-size,firmware,yes,GNU size (xPack GNU RISC-V Embedded GCC x86_64) 2.45,yes,workspace-local,compiler-backed firmware size accounting; workspace-local .tools/toolchains/riscv-none-elf-gcc/xpack-riscv-none-elf-gcc-15.2.0-1/bin/riscv-none-elf-size.exe
iverilog,rtl-smoke,yes,Icarus Verilog version 14.0 (devel) (s20260301-220-g78750c51d-dirty),yes,workspace-local,directed Icarus simulations; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/iverilog.exe
vvp,rtl-smoke,yes,version probe produced no output,yes,workspace-local,Icarus simulation runtime; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/vvp.exe
yosys,"mapped-synthesis,formal",yes,version probe produced no output,yes,workspace-local,synthesis/formal frontend; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/yosys.exe
nextpnr-ice40,mapped-synthesis,yes,version probe produced no output,no,workspace-local,optional iCE40 mapped FPGA flow; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/nextpnr-ice40.exe
nextpnr-ecp5,mapped-synthesis,yes,version probe produced no output,no,workspace-local,optional ECP5 mapped FPGA flow; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/nextpnr-ecp5.exe
openroad,mapped-synthesis,no,NA,no,missing,optional ASIC flow; tool not found
latexmk,paper,no,NA,no,missing,LaTeX build wrapper; tool not found
pdflatex,paper,no,NA,no,missing,PDF LaTeX engine; tool not found
lualatex,paper,no,NA,no,missing,fallback PDF LaTeX engine; tool not found
firmware-hex-fallback,full-rtl-replay,yes,generated-hex,no,generated-fallback,existing generated HEX/MEM images can feed RTL when compiler is unavailable; fallback is not a compiler pass
