benchmark,variant,seed,recorder_config,config_select,expected_property,sensor_value,replay_sensor_value,command_value,replay_command_value,watchdog_enable,irq_after_command,status,property_id,capsule_words,consumed_count,record_signature,replay_signature,signature_match,changed_input,changed_command,require_signature_match,raw_log,notes
sensor_threshold_bug,failing,1,core,0,3,850,0,0,0,0,0,PASS,3,2,2,5e0500c2,5e0500c2,PASS,PASS,NA,1,results/raw/second_core_v2_smokes/sensor_threshold_bug_core_seed1.txt,"Scoped seeded v2 FemtoRV32 smoke resets the wrapped core, perturbs replay-side host MMIO inputs, requires the v2 replay consumer to consume the captured MMIO/property stream, and reproduces the recorded property signature."
sensor_threshold_bug,failing,2,core,0,3,867,1,0,0,0,0,PASS,3,2,2,5e0500c2,5e0500c2,PASS,PASS,NA,1,results/raw/second_core_v2_smokes/sensor_threshold_bug_core_seed2.txt,"Scoped seeded v2 FemtoRV32 smoke resets the wrapped core, perturbs replay-side host MMIO inputs, requires the v2 replay consumer to consume the captured MMIO/property stream, and reproduces the recorded property signature."
sensor_threshold_bug,failing,3,core,0,3,883,2,0,0,0,0,PASS,3,2,2,5e0500c2,5e0500c2,PASS,PASS,NA,1,results/raw/second_core_v2_smokes/sensor_threshold_bug_core_seed3.txt,"Scoped seeded v2 FemtoRV32 smoke resets the wrapped core, perturbs replay-side host MMIO inputs, requires the v2 replay consumer to consume the captured MMIO/property stream, and reproduces the recorded property signature."
sensor_threshold_bug,failing,1,hashed,1,3,850,0,0,0,0,0,PASS,3,2,2,5e0500c2,5e0500c2,PASS,PASS,NA,1,results/raw/second_core_v2_smokes/sensor_threshold_bug_hashed_seed1.txt,"Scoped seeded v2 FemtoRV32 smoke resets the wrapped core, perturbs replay-side host MMIO inputs, requires the v2 replay consumer to consume the captured MMIO/property stream, and reproduces the recorded property signature."
sensor_threshold_bug,failing,2,hashed,1,3,867,1,0,0,0,0,PASS,3,2,2,5e0500c2,5e0500c2,PASS,PASS,NA,1,results/raw/second_core_v2_smokes/sensor_threshold_bug_hashed_seed2.txt,"Scoped seeded v2 FemtoRV32 smoke resets the wrapped core, perturbs replay-side host MMIO inputs, requires the v2 replay consumer to consume the captured MMIO/property stream, and reproduces the recorded property signature."
sensor_threshold_bug,failing,3,hashed,1,3,883,2,0,0,0,0,PASS,3,2,2,5e0500c2,5e0500c2,PASS,PASS,NA,1,results/raw/second_core_v2_smokes/sensor_threshold_bug_hashed_seed3.txt,"Scoped seeded v2 FemtoRV32 smoke resets the wrapped core, perturbs replay-side host MMIO inputs, requires the v2 replay consumer to consume the captured MMIO/property stream, and reproduces the recorded property signature."
sensor_threshold_bug,failing,1,full,2,3,850,0,0,0,0,0,PASS,3,42,42,5e0500c2,5e0500c2,PASS,PASS,NA,1,results/raw/second_core_v2_smokes/sensor_threshold_bug_full_seed1.txt,"Scoped seeded v2 FemtoRV32 smoke resets the wrapped core, perturbs replay-side host MMIO inputs, requires the v2 replay consumer to consume the captured MMIO/property stream, and reproduces the recorded property signature."
sensor_threshold_bug,failing,2,full,2,3,867,1,0,0,0,0,PASS,3,42,42,5e0500c2,5e0500c2,PASS,PASS,NA,1,results/raw/second_core_v2_smokes/sensor_threshold_bug_full_seed2.txt,"Scoped seeded v2 FemtoRV32 smoke resets the wrapped core, perturbs replay-side host MMIO inputs, requires the v2 replay consumer to consume the captured MMIO/property stream, and reproduces the recorded property signature."
sensor_threshold_bug,failing,3,full,2,3,883,2,0,0,0,0,PASS,3,42,42,5e0500c2,5e0500c2,PASS,PASS,NA,1,results/raw/second_core_v2_smokes/sensor_threshold_bug_full_seed3.txt,"Scoped seeded v2 FemtoRV32 smoke resets the wrapped core, perturbs replay-side host MMIO inputs, requires the v2 replay consumer to consume the captured MMIO/property stream, and reproduces the recorded property signature."
interrupt_race_bug,fixed_with_wrapper_irq,1,core,0,2,850,0,0,0,0,1,PASS,2,3,3,1a1e00c2,1a1e00c2,PASS,PASS,NA,1,results/raw/second_core_v2_smokes/interrupt_race_bug_core_seed1.txt,"Scoped seeded v2 FemtoRV32 smoke resets the wrapped core, perturbs replay-side host MMIO inputs, requires the v2 replay consumer to consume the captured MMIO/property stream, and reproduces the recorded property signature."
