coverage_item,status,evidence_level,covered_cases,source,notes
seeded_fresh_process_rerun,PASS,rtl-smoke,13,results/processed/randomized_interrupt_campaign.csv,"Each case runs twice through fresh vvp invocations and must reproduce property ID, count, signature, and digest."
digest_reproducibility,PASS,rtl-smoke,13,results/processed/randomized_interrupt_campaign.csv,Capsule-packet SHA-256 digests match across both simulator invocations.
property_id_reproducibility,PASS,rtl-smoke,13,results/processed/randomized_interrupt_campaign.csv,Both runs report the expected interrupt-race property ID.
frozen_capsule_count_reproducibility,PASS,rtl-smoke,13,results/processed/randomized_interrupt_campaign.csv,Frozen packet counts match across both simulator invocations.
irq_after_command_pulse_width_jitter,PASS,rtl-smoke,6,results/processed/randomized_interrupt_campaign.csv,Seeded after-command cases vary interrupt pulse width after the command MMIO write.
fixed_irq_window_sweep,PASS,rtl-smoke,7,results/processed/randomized_interrupt_campaign.csv,Fixed-window cases sweep explicit interrupt assertion/deassertion windows.
capsule_size_variation_observed,PASS,rtl-smoke,7,results/processed/randomized_interrupt_campaign.csv,"Passing cases produce more than one frozen capsule packet count, exercising different interrupt-visible prefixes."
record_then_replay_with_live_noise,TODO,rtl-smoke,0,results/processed/randomized_interrupt_campaign.csv,Requires the full randomized record/replay RTL harness with changed live interrupts and MMIO values.
mmio_latency_randomization,TODO,rtl-smoke,0,results/processed/randomized_interrupt_campaign.csv,Requires an RTL harness that varies MMIO response latency independently from interrupt timing.
buffer_pressure_overflow_randomization,TODO,rtl-smoke,0,results/processed/randomized_interrupt_campaign.csv,Requires randomized buffer-capacity and overflow runs beyond the current fixed-depth smoke campaign.
interrupt_before_during_after_mmio_wait,TODO,rtl-smoke,0,results/processed/randomized_interrupt_campaign.csv,Requires a checker that classifies interrupt timing relative to an exposed MMIO wait-state window.
corrupted_seed_replay_rejection,PASS,rtl-smoke,13,results/processed/randomized_interrupt_corruption.csv,"Each seeded run1 capsule self-compares, then missing-event, duplicate-event, metadata, payload, and order corruptions must be rejected by the replay comparator."
