benchmark,variant,capture_profile,capture_mode,expected_property,sensor_value,command_value,watchdog_enable,irq_after_command,replay_packet_index,status,property_id,capsule_count,signature,replay_sensor,replay_command,sensor_packet,command_packet,checker_consumed,mmio_driver_hits,raw_log,notes
sensor_threshold_bug,failing,capture_all,0,3,850,0,0,0,1,PASS,3,42,5e0500c2,850,0,1,0,42,1,results/raw/second_core_replay_smokes/sensor_threshold_bug_capture_all.txt,"v1 diagnostic capture-all profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
sensor_threshold_bug,failing,mmio_interrupt,1,3,850,0,0,0,1,PASS,3,2,5e0500c2,850,0,1,0,2,1,results/raw/second_core_replay_smokes/sensor_threshold_bug_mmio_interrupt.txt,"v1 replay-critical MMIO/interrupt/input/property capture profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
sensor_threshold_bug,failing,property_aware,2,3,850,0,0,0,1,PASS,3,2,5e0500c2,850,0,1,0,2,1,results/raw/second_core_replay_smokes/sensor_threshold_bug_property_aware.txt,"v1 property-aware nondeterministic/window capture profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
sensor_threshold_bug,failing,replaycapsule_default,3,3,850,0,0,0,1,PASS,3,6,5e0500c2,850,0,1,0,6,1,results/raw/second_core_replay_smokes/sensor_threshold_bug_replaycapsule_default.txt,"v1 ReplayCapsule default property-relevant capture profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
interrupt_race_bug,fixed_with_wrapper_irq,capture_all,0,2,850,0,0,1,1,PASS,2,21,1a1e00c2,850,0,0,0,21,0,results/raw/second_core_replay_smokes/interrupt_race_bug_capture_all.txt,"v1 diagnostic capture-all profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
interrupt_race_bug,fixed_with_wrapper_irq,mmio_interrupt,1,2,850,0,0,1,1,PASS,2,3,1a1e00c2,850,0,0,0,3,0,results/raw/second_core_replay_smokes/interrupt_race_bug_mmio_interrupt.txt,"v1 replay-critical MMIO/interrupt/input/property capture profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
interrupt_race_bug,fixed_with_wrapper_irq,property_aware,2,2,850,0,0,1,1,PASS,2,2,1a1e00c2,850,0,0,0,2,0,results/raw/second_core_replay_smokes/interrupt_race_bug_property_aware.txt,"v1 property-aware nondeterministic/window capture profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
interrupt_race_bug,fixed_with_wrapper_irq,replaycapsule_default,3,2,850,0,0,1,1,PASS,2,4,1a1e00c2,850,0,0,0,4,0,results/raw/second_core_replay_smokes/interrupt_race_bug_replaycapsule_default.txt,"v1 ReplayCapsule default property-relevant capture profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
mmio_ordering_bug,failing,capture_all,0,5,850,0,0,0,1,PASS,5,20,0d0e000c,850,0,0,0,20,0,results/raw/second_core_replay_smokes/mmio_ordering_bug_capture_all.txt,"v1 diagnostic capture-all profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
mmio_ordering_bug,failing,mmio_interrupt,1,5,850,0,0,0,1,PASS,5,2,0d0e000c,850,0,0,0,2,0,results/raw/second_core_replay_smokes/mmio_ordering_bug_mmio_interrupt.txt,"v1 replay-critical MMIO/interrupt/input/property capture profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
mmio_ordering_bug,failing,property_aware,2,5,850,0,0,0,1,PASS,5,1,0d0e000c,850,0,0,0,1,0,results/raw/second_core_replay_smokes/mmio_ordering_bug_property_aware.txt,"v1 property-aware nondeterministic/window capture profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
mmio_ordering_bug,failing,replaycapsule_default,3,5,850,0,0,0,1,PASS,5,3,0d0e000c,850,0,0,0,3,0,results/raw/second_core_replay_smokes/mmio_ordering_bug_replaycapsule_default.txt,"v1 ReplayCapsule default property-relevant capture profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
stack_corruption_bug,failing,capture_all,0,4,850,0,0,0,1,PASS,4,21,8901aefb,850,0,0,0,21,0,results/raw/second_core_replay_smokes/stack_corruption_bug_capture_all.txt,"v1 diagnostic capture-all profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
stack_corruption_bug,failing,mmio_interrupt,1,4,850,0,0,0,1,PASS,4,1,8901aefb,850,0,0,0,1,0,results/raw/second_core_replay_smokes/stack_corruption_bug_mmio_interrupt.txt,"v1 replay-critical MMIO/interrupt/input/property capture profile; FemtoRV32 wrapper captured a property-fail capsule, reset, loaded captured packets into the scoped v1 RTL MMIO replay driver for replay reads, and the v1 RTL replay checker consumed the matching replay capsule stream"
